home_zcta,home_county,atl_workers,workforce_share_pct,cumulative_share_pct
30317,"Fulton County, GA",2,0.0031,99.5545
30334,"Fulton County, GA",2,0.0031,99.5576
30415,"Bulloch County, GA",2,0.0031,99.5607
30417,"Evans County, GA",2,0.0031,99.5638
30428,"Wheeler County, GA",2,0.0031,99.5669
30434,"Jefferson County, GA",2,0.0031,99.57
30445,"Montgomery County, GA",2,0.0031,99.5731
30454,"Laurens County, GA",2,0.0031,99.5762
30477,"Jefferson County, GA",2,0.0031,99.5793
30511,"Banks County, GA",2,0.0031,99.5824
30511,"Habersham County, GA",2,0.0031,99.5855
30516,"Hart County, GA",2,0.0031,99.5886
30520,"Franklin County, GA",2,0.0031,99.5917
30522,"Gilmer County, GA",2,0.0031,99.5948
30533,"Hall County, GA",2,0.0031,99.5979
30557,"Franklin County, GA",2,0.0031,99.601
30619,"Oglethorpe County, GA",2,0.0031,99.6041
30627,"Oglethorpe County, GA",2,0.0031,99.6072
30656,"Barrow County, GA",2,0.0031,99.6103
30660,"Wilkes County, GA",2,0.0031,99.6134
30662,"Hart County, GA",2,0.0031,99.6165
30665,"Greene County, GA",2,0.0031,99.6196
30666,"Oconee County, GA",2,0.0031,99.6227
30668,"Wilkes County, GA",2,0.0031,99.6258
30669,"Greene County, GA",2,0.0031,99.6289
30725,"Walker County, GA",2,0.0031,99.632
30734,"Gordon County, GA",2,0.0031,99.6351
30735,"Whitfield County, GA",2,0.0031,99.6382
30808,"McDuffie County, GA",2,0.0031,99.6413
30813,"Richmond County, GA",2,0.0031,99.6444
30909,"Columbia County, GA",2,0.0031,99.6475
31008,"Houston County, GA",2,0.0031,99.6506
31014,"Bleckley County, GA",2,0.0031,99.6537
31020,"Twiggs County, GA",2,0.0031,99.6568
31031,"Baldwin County, GA",2,0.0031,99.6599
31037,"Telfair County, GA",2,0.0031,99.663
31038,"Jasper County, GA",2,0.0031,99.6661
31042,"Wilkinson County, GA",2,0.0031,99.6692
31068,"Macon County, GA",2,0.0031,99.6723
31098,"Houston County, GA",2,0.0031,99.6754
31301,"Liberty County, GA",2,0.0031,99.6785
31307,"Effingham County, GA",2,0.0031,99.6816
31308,"Bryan County, GA",2,0.0031,99.6847
31328,"Chatham County, GA",2,0.0031,99.6878
31331,"McIntosh County, GA",2,0.0031,99.6909
31409,"Chatham County, GA",2,0.0031,99.694
31533,"Coffee County, GA",2,0.0031,99.6971
31543,"Brantley County, GA",2,0.0031,99.7002
31547,"Camden County, GA",2,0.0031,99.7033
31555,"Wayne County, GA",2,0.0031,99.7064
31639,"Berrien County, GA",2,0.0031,99.7095
31712,"Crisp County, GA",2,0.0031,99.7126
31749,"Berrien County, GA",2,0.0031,99.7157
31779,"Grady County, GA",2,0.0031,99.7188
31801,"Talbot County, GA",2,0.0031,99.7219
31803,"Marion County, GA",2,0.0031,99.725
31805,"Chattahoochee County, GA",2,0.0031,99.7281
31806,"Schley County, GA",2,0.0031,99.7312
31807,"Harris County, GA",2,0.0031,99.7343
31812,"Talbot County, GA",2,0.0031,99.7374
31826,"Talbot County, GA",2,0.0031,99.7405
31827,"Talbot County, GA",2,0.0031,99.7436
31836,"Talbot County, GA",2,0.0031,99.7467
39819,"Decatur County, GA",2,0.0031,99.7498
39837,"Miller County, GA",2,0.0031,99.7529
39840,"Randolph County, GA",2,0.0031,99.756
30012,"DeKalb County, GA",1,0.0015,99.7575
30016,"Rockdale County, GA",1,0.0015,99.759
30052,"Newton County, GA",1,0.0015,99.7605
30056,"Jasper County, GA",1,0.0015,99.762
30056,"Morgan County, GA",1,0.0015,99.7635
30056,"Newton County, GA",1,0.0015,99.765
30058,"Rockdale County, GA",1,0.0015,99.7665
30070,"Newton County, GA",1,0.0015,99.768
30103,"Floyd County, GA",1,0.0015,99.7695
30103,"Gordon County, GA",1,0.0015,99.771
30104,"Bartow County, GA",1,0.0015,99.7725
30104,"Floyd County, GA",1,0.0015,99.774
30107,"Pickens County, GA",1,0.0015,99.7755
30108,"Heard County, GA",1,0.0015,99.777
30110,"Carroll County, GA",1,0.0015,99.7785
30113,"Polk County, GA",1,0.0015,99.78
30118,"Carroll County, GA",1,0.0015,99.7815
30125,"Floyd County, GA",1,0.0015,99.783
30139,"Bartow County, GA",1,0.0015,99.7845
30145,"Floyd County, GA",1,0.0015,99.786
30161,"Bartow County, GA",1,0.0015,99.7875
30182,"Carroll County, GA",1,0.0015,99.789
30183,"Bartow County, GA",1,0.0015,99.7905
30233,"Newton County, GA",1,0.0015,99.792
30251,"Coweta County, GA",1,0.0015,99.7935
30256,"Lamar County, GA",1,0.0015,99.795
30258,"Upson County, GA",1,0.0015,99.7965
30350,"DeKalb County, GA",1,0.0015,99.798
30410,"Montgomery County, GA",1,0.0015,99.7995
30411,"Wheeler County, GA",1,0.0015,99.801
30421,"Tattnall County, GA",1,0.0015,99.8025
30427,"Long County, GA",1,0.0015,99.804
30434,"Burke County, GA",1,0.0015,99.8055
30436,"Toombs County, GA",1,0.0015,99.807
30442,"Burke County, GA",1,0.0015,99.8085
30442,"Jenkins County, GA",1,0.0015,99.81
30453,"Tattnall County, GA",1,0.0015,99.8115
30455,"Screven County, GA",1,0.0015,99.813
30456,"Burke County, GA",1,0.0015,99.8145
30457,"Treutlen County, GA",1,0.0015,99.816
30470,"Montgomery County, GA",1,0.0015,99.8175
30471,"Emanuel County, GA",1,0.0015,99.819
30473,"Montgomery County, GA",1,0.0015,99.8205
30510,"Hall County, GA",1,0.0015,99.822
30512,"Fannin County, GA",1,0.0015,99.8235
30530,"Jackson County, GA",1,0.0015,99.825
30530,"Madison County, GA",1,0.0015,99.8265
30536,"Dawson County, GA",1,0.0015,99.828
30547,"Banks County, GA",1,0.0015,99.8295
30554,"Banks County, GA",1,0.0015,99.831
30555,"Fannin County, GA",1,0.0015,99.8325
30557,"Stephens County, GA",1,0.0015,99.834
30567,"Hall County, GA",1,0.0015,99.8355
30568,"Rabun County, GA",1,0.0015,99.837
30571,"White County, GA",1,0.0015,99.8385
30572,"Union County, GA",1,0.0015,99.84
30577,"Banks County, GA",1,0.0015,99.8415
30577,"Franklin County, GA",1,0.0015,99.843
30597,"Lumpkin County, GA",1,0.0015,99.8445
30602,"Clarke County, GA",1,0.0015,99.846
30622,"Clarke County, GA",1,0.0015,99.8475
30623,"Morgan County, GA",1,0.0015,99.849
30628,"Oglethorpe County, GA",1,0.0015,99.8505
30631,"Taliaferro County, GA",1,0.0015,99.852
30634,"Hart County, GA",1,0.0015,99.8535
30641,"Walton County, GA",1,0.0015,99.855
30667,"Oglethorpe County, GA",1,0.0015,99.8565
30678,"Greene County, GA",1,0.0015,99.858
30683,"Oglethorpe County, GA",1,0.0015,99.8595
30707,"Catoosa County, GA",1,0.0015,99.861
30721,"Murray County, GA",1,0.0015,99.8625
30730,"Chattooga County, GA",1,0.0015,99.864
30731,"Dade County, GA",1,0.0015,99.8655
30735,"Gordon County, GA",1,0.0015,99.867
30736,"Whitfield County, GA",1,0.0015,99.8685
30738,"Walker County, GA",1,0.0015,99.87
30739,"Catoosa County, GA",1,0.0015,99.8715
30739,"Walker County, GA",1,0.0015,99.873
30755,"Whitfield County, GA",1,0.0015,99.8745
30805,"Richmond County, GA",1,0.0015,99.876
30820,"Hancock County, GA",1,0.0015,99.8775
30823,"Jefferson County, GA",1,0.0015,99.879
30830,"Burke County, GA",1,0.0015,99.8805
31001,"Wilcox County, GA",1,0.0015,99.882
31009,"Laurens County, GA",1,0.0015,99.8835
31014,"Dodge County, GA",1,0.0015,99.885
31016,"Lamar County, GA",1,0.0015,99.8865
31019,"Laurens County, GA",1,0.0015,99.888
31023,"Dodge County, GA",1,0.0015,99.8895
31025,"Houston County, GA",1,0.0015,99.891
31030,"Crawford County, GA",1,0.0015,99.8925
31036,"Houston County, GA",1,0.0015,99.894
31036,"Pulaski County, GA",1,0.0015,99.8955
31046,"Jones County, GA",1,0.0015,99.897
31052,"Crawford County, GA",1,0.0015,99.8985
31054,"Wilkinson County, GA",1,0.0015,99.9
31055,"Telfair County, GA",1,0.0015,99.9015
31057,"Macon County, GA",1,0.0015,99.903
31058,"Marion County, GA",1,0.0015,99.9045
31060,"Dodge County, GA",1,0.0015,99.906
31063,"Macon County, GA",1,0.0015,99.9075
31064,"Newton County, GA",1,0.0015,99.909
31066,"Monroe County, GA",1,0.0015,99.9105
31070,"Dooly County, GA",1,0.0015,99.912
31076,"Taylor County, GA",1,0.0015,99.9135
31087,"Baldwin County, GA",1,0.0015,99.915
31090,"Wilkinson County, GA",1,0.0015,99.9165
31092,"Crisp County, GA",1,0.0015,99.918
31096,"Washington County, GA",1,0.0015,99.9195
31097,"Lamar County, GA",1,0.0015,99.921
31207,"Bibb County, GA",1,0.0015,99.9225
31217,"Twiggs County, GA",1,0.0015,99.924
31301,"Long County, GA",1,0.0015,99.9255
31302,"Effingham County, GA",1,0.0015,99.927
31303,"Effingham County, GA",1,0.0015,99.9285
31313,"Long County, GA",1,0.0015,99.93
31323,"Liberty County, GA",1,0.0015,99.9315
31512,"Coffee County, GA",1,0.0015,99.933
31535,"Coffee County, GA",1,0.0015,99.9345
31537,"Camden County, GA",1,0.0015,99.936
31539,"Jeff Davis County, GA",1,0.0015,99.9375
31542,"Brantley County, GA",1,0.0015,99.939
31546,"Wayne County, GA",1,0.0015,99.9405
31554,"Coffee County, GA",1,0.0015,99.942
31555,"Appling County, GA",1,0.0015,99.9435
31565,"Camden County, GA",1,0.0015,99.945
31566,"Brantley County, GA",1,0.0015,99.9465
31568,"Camden County, GA",1,0.0015,99.948
31569,"Camden County, GA",1,0.0015,99.9495
31622,"Berrien County, GA",1,0.0015,99.951
31624,"Atkinson County, GA",1,0.0015,99.9525
31626,"Thomas County, GA",1,0.0015,99.954
31632,"Cook County, GA",1,0.0015,99.9555
31634,"Clinch County, GA",1,0.0015,99.957
31636,"Echols County, GA",1,0.0015,99.9585
31637,"Colquitt County, GA",1,0.0015,99.96
31637,"Cook County, GA",1,0.0015,99.9615
31638,"Brooks County, GA",1,0.0015,99.963
31641,"Lanier County, GA",1,0.0015,99.9645
31642,"Atkinson County, GA",1,0.0015,99.966
31645,"Lowndes County, GA",1,0.0015,99.9675
31647,"Cook County, GA",1,0.0015,99.969
31648,"Echols County, GA",1,0.0015,99.9705
31650,"Atkinson County, GA",1,0.0015,99.972
31698,"Lowndes County, GA",1,0.0015,99.9735
31705,"Worth County, GA",1,0.0015,99.975
31721,"Terrell County, GA",1,0.0015,99.9765
31733,"Tift County, GA",1,0.0015,99.978
31765,"Mitchell County, GA",1,0.0015,99.9795
31775,"Colquitt County, GA",1,0.0015,99.981
31778,"Brooks County, GA",1,0.0015,99.9825
31781,"Worth County, GA",1,0.0015,99.984
31796,"Worth County, GA",1,0.0015,99.9855
31822,"Meriwether County, GA",1,0.0015,99.987
31823,"Harris County, GA",1,0.0015,99.9885
31825,"Stewart County, GA",1,0.0015,99.99
39827,"Grady County, GA",1,0.0015,99.9915
39842,"Terrell County, GA",1,0.0015,99.993
39846,"Calhoun County, GA",1,0.0015,99.9945
39859,"Seminole County, GA",1,0.0015,99.996
