home_zcta,home_county,atl_workers,workforce_share_pct,cumulative_share_pct
30519,"Gwinnett County, GA",124,0.1902,85.6285
30259,"Coweta County, GA",122,0.1871,85.8156
30019,"Gwinnett County, GA",121,0.1856,86.0012
30046,"Gwinnett County, GA",120,0.184,86.1852
30116,"Carroll County, GA",120,0.184,86.3692
30017,"Gwinnett County, GA",117,0.1794,86.5486
30340,"DeKalb County, GA",117,0.1794,86.728
30120,"Bartow County, GA",115,0.1764,86.9044
30281,"Clayton County, GA",115,0.1764,87.0808
30215,"Clayton County, GA",114,0.1748,87.2556
30005,"Fulton County, GA",112,0.1718,87.4274
30092,"Gwinnett County, GA",112,0.1718,87.5992
30117,"Carroll County, GA",112,0.1718,87.771
30220,"Coweta County, GA",112,0.1718,87.9428
30187,"Douglas County, GA",111,0.1702,88.113
30313,"Fulton County, GA",109,0.1671,88.2801
30906,"Richmond County, GA",103,0.1579,88.438
30240,"Troup County, GA",100,0.1533,88.5913
30292,"Pike County, GA",94,0.1441,88.7354
30680,"Barrow County, GA",91,0.1395,88.8749
30134,"Paulding County, GA",88,0.1349,89.0098
30180,"Douglas County, GA",84,0.1288,89.1386
30307,"Fulton County, GA",81,0.1242,89.2628
30102,"Cherokee County, GA",79,0.1211,89.3839
30121,"Bartow County, GA",78,0.1196,89.5035
30286,"Upson County, GA",78,0.1196,89.6231
30024,"Forsyth County, GA",77,0.1181,89.7412
30097,"Fulton County, GA",77,0.1181,89.8593
30097,"Gwinnett County, GA",76,0.1165,89.9758
30306,"DeKalb County, GA",75,0.115,90.0908
30071,"Gwinnett County, GA",74,0.1135,90.2043
31029,"Monroe County, GA",74,0.1135,90.3178
30002,"DeKalb County, GA",72,0.1104,90.4282
30087,"Gwinnett County, GA",72,0.1104,90.5386
30268,"Coweta County, GA",72,0.1104,90.649
30241,"Troup County, GA",71,0.1089,90.7579
30303,"Fulton County, GA",70,0.1073,90.8652
30102,"Cobb County, GA",69,0.1058,90.971
30363,"Fulton County, GA",69,0.1058,91.0768
30205,"Fayette County, GA",68,0.1043,91.1811
30236,"Henry County, GA",68,0.1043,91.2854
30288,"DeKalb County, GA",68,0.1043,91.3897
30009,"Fulton County, GA",65,0.0997,91.4894
30204,"Lamar County, GA",65,0.0997,91.5891
30813,"Columbia County, GA",65,0.0997,91.6888
30028,"Forsyth County, GA",63,0.0966,91.7854
30052,"Walton County, GA",63,0.0966,91.882
30809,"Columbia County, GA",62,0.0951,91.9771
30230,"Troup County, GA",61,0.0935,92.0706
30534,"Dawson County, GA",60,0.092,92.1626
30360,"DeKalb County, GA",59,0.0905,92.2531
30054,"Newton County, GA",57,0.0874,92.3405
31907,"Muscogee County, GA",57,0.0874,92.4279
30084,"Gwinnett County, GA",55,0.0843,92.5122
30909,"Richmond County, GA",53,0.0813,92.5935
30075,"Cobb County, GA",52,0.0797,92.6732
30127,"Paulding County, GA",52,0.0797,92.7529
30257,"Lamar County, GA",52,0.0797,92.8326
30815,"Richmond County, GA",52,0.0797,92.9123
30655,"Walton County, GA",51,0.0782,92.9905
30206,"Pike County, GA",49,0.0751,93.0656
30101,"Paulding County, GA",47,0.0721,93.1377
30143,"Pickens County, GA",47,0.0721,93.2098
30179,"Carroll County, GA",47,0.0721,93.2819
30295,"Pike County, GA",47,0.0721,93.354
30222,"Meriwether County, GA",46,0.0705,93.4245
30542,"Hall County, GA",46,0.0705,93.495
30217,"Heard County, GA",45,0.069,93.564
30507,"Hall County, GA",44,0.0675,93.6315
30501,"Hall County, GA",43,0.0659,93.6974
30907,"Columbia County, GA",43,0.0659,93.7633
30504,"Hall County, GA",41,0.0629,93.8262
31088,"Houston County, GA",41,0.0629,93.8891
30506,"Hall County, GA",40,0.0613,93.9504
30606,"Clarke County, GA",40,0.0613,94.0117
30281,"Rockdale County, GA",39,0.0598,94.0715
30319,"Fulton County, GA",39,0.0598,94.1313
30605,"Clarke County, GA",39,0.0598,94.1911
30346,"DeKalb County, GA",38,0.0583,94.2494
31210,"Bibb County, GA",38,0.0583,94.3077
31904,"Muscogee County, GA",37,0.0567,94.3644
30324,"DeKalb County, GA",36,0.0552,94.4196
31419,"Chatham County, GA",36,0.0552,94.4748
30336,"Fulton County, GA",35,0.0537,94.5285
31204,"Bibb County, GA",35,0.0537,94.5822
30079,"DeKalb County, GA",34,0.0521,94.6343
30107,"Cherokee County, GA",32,0.0491,94.6834
30276,"Fayette County, GA",32,0.0491,94.7325
31909,"Muscogee County, GA",31,0.0475,94.78
30011,"Barrow County, GA",30,0.046,94.826
30011,"Gwinnett County, GA",30,0.046,94.872
30103,"Bartow County, GA",30,0.046,94.918
30161,"Floyd County, GA",30,0.046,94.964
30258,"Pike County, GA",30,0.046,95.01
30004,"Forsyth County, GA",29,0.0445,95.0545
30233,"Henry County, GA",29,0.0445,95.099
30238,"Fayette County, GA",29,0.0445,95.1435
30165,"Floyd County, GA",28,0.0429,95.1864
30251,"Meriwether County, GA",28,0.0429,95.2293
30549,"Jackson County, GA",28,0.0429,95.2722
31061,"Baldwin County, GA",28,0.0429,95.3151
