home_zcta,home_county,atl_workers,synthetic_members,zcta_latitude,zcta_longitude,nearest_marta_station,nearest_marta_node_code,distance_to_marta_miles
30034,"DeKalb County, GA",763,76,33.690867,-84.248622,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,5.57
30228,"Clayton County, GA",733,73,33.400608,-84.307728,AIRPORT STATION,MARTA-AIRPORT,18.40
30058,"DeKalb County, GA",731,73,33.738350,-84.107376,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,7.34
30315,"Fulton County, GA",697,70,33.702741,-84.382853,OAKLAND CITY STATION,MARTA-OAKLAND-CITY,2.62
30310,"Fulton County, GA",695,70,33.726889,-84.428926,OAKLAND CITY STATION,MARTA-OAKLAND-CITY,0.71
30080,"Cobb County, GA",692,69,33.877818,-84.501703,BUCKHEAD STATION,MARTA-BUCKHEAD,7.96
30296,"Clayton County, GA",653,65,33.563160,-84.441157,AIRPORT STATION,MARTA-AIRPORT,5.36
30311,"Fulton County, GA",642,64,33.723262,-84.475994,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,2.19
30354,"Fulton County, GA",620,62,33.660361,-84.386502,EAST POINT STATION,MARTA-EAST-POINT,3.32
30248,"Henry County, GA",602,60,33.350460,-84.109119,AIRPORT STATION,MARTA-AIRPORT,27.91
30038,"DeKalb County, GA",600,60,33.666460,-84.139855,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,8.81
30309,"Fulton County, GA",553,55,33.799851,-84.385837,ARTS CENTER STATION,MARTA-ARTS-CENTER,0.74
30260,"Clayton County, GA",540,54,33.587165,-84.334307,AIRPORT STATION,MARTA-AIRPORT,7.42
30083,"DeKalb County, GA",530,53,33.796597,-84.192603,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,2.81
30276,"Coweta County, GA",526,53,33.263314,-84.583456,AIRPORT STATION,MARTA-AIRPORT,27.24
30228,"Henry County, GA",516,52,33.400608,-84.307728,AIRPORT STATION,MARTA-AIRPORT,18.40
30297,"Clayton County, GA",512,51,33.614988,-84.371672,AIRPORT STATION,MARTA-AIRPORT,4.64
30032,"DeKalb County, GA",505,51,33.740668,-84.264466,KENSINGTON STATION,MARTA-KENSINGTON,2.33
30126,"Cobb County, GA",503,50,33.815023,-84.553798,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,6.39
30312,"Fulton County, GA",486,49,33.744616,-84.375814,KING MEMORIAL STATION,MARTA-KING-MEMORIAL,0.37
30337,"Fulton County, GA",483,48,33.640147,-84.450081,AIRPORT STATION,MARTA-AIRPORT,0.23
30339,"Cobb County, GA",443,44,33.867570,-84.464600,BUCKHEAD STATION,MARTA-BUCKHEAD,5.73
30016,"Newton County, GA",427,43,33.517433,-83.928703,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,24.56
30324,"Fulton County, GA",411,41,33.818405,-84.358175,LINDBERGH CENTER STATION,MARTA-LINDBERGH-CENTER,0.73
30127,"Cobb County, GA",403,40,33.875084,-84.699340,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,15.60
30273,"Clayton County, GA",402,40,33.583798,-84.271027,AIRPORT STATION,MARTA-AIRPORT,10.82
30308,"Fulton County, GA",400,40,33.770959,-84.377736,NORTH AVENUE STATION,MARTA-NORTH-AVENUE,0.55
